代號,分類,最新月份,最新月年增%,近36月可比基數,近36月成長月數,近36月成長比率%,近12月成長,近12月樣態,連續成長月數,近36月平均年增%
4938,🔴 轉弱/衰退,2026/05,12.0,36,12,33.3,3/12,✔✗✗✔✗✗✗✗✗✗✗✔,1,-6.0
6415,🔵 多數成長,2026/05,31.6,36,23,63.9,9/12,✗✗✗✔✔✔✔✔✔✔✔✔,9,6.6
3105,🔵 多數成長,2026/05,40.3,36,23,63.9,9/12,✗✗✗✔✔✔✔✔✔✔✔✔,9,13.2
3293,🟢 全期強勢,2026/05,12.0,36,36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,41,23.0
5876,🔵 多數成長,2026/05,5.3,36,24,66.7,7/12,✗✗✔✔✔✔✗✔✔✗✗✔,1,5.1
3081,🔵 多數成長,2026/05,118.8,36,26,72.2,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,17,39.5
1802,🟡 中性,2026/05,17.7,36,16,44.4,6/12,✗✔✗✔✗✗✗✔✗✔✔✔,3,0.3
5871,🟡 中性,2026/05,1.3,36,20,55.6,1/12,✗✗✗✗✗✗✗✗✗✗✗✔,1,1.9
2409,🔵 多數成長,2026/05,-1.4,36,26,72.2,5/12,✗✗✗✗✔✔✔✔✗✔✗✗,0,10.0
6139,🔵 多數成長,2026/05,103.3,36,24,66.7,10/12,✗✗✔✔✔✔✔✔✔✔✔✔,10,53.9
1101,🔴 轉弱/衰退,2026/05,-0.1,36,14,38.9,1/12,✗✗✗✗✗✗✗✔✗✗✗✗,0,12.6
2609,🟡 中性,2026/05,22.2,36,16,44.4,2/12,✗✗✗✗✗✗✗✗✗✗✔✔,2,0.8
3702,🟢 全期強勢,2026/05,82.9,36,30,83.3,10/12,✔✔✗✗✔✔✔✔✔✔✔✔,8,20.9
5289,🔵 多數成長,2026/05,640.8,36,28,77.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,26,86.8
2834,🔵 多數成長,2026/05,22.5,36,25,69.4,8/12,✔✗✔✗✔✗✔✔✗✔✔✔,3,5.4
1605,🟡 中性,2026/05,11.1,36,15,41.7,3/12,✗✗✗✗✗✗✔✗✗✔✗✔,1,-2.1
6147,🔵 多數成長,2026/05,19.1,36,22,61.1,9/12,✔✗✗✔✗✔✔✔✔✔✔✔,7,3.6
8210,🟢 全期強勢,2026/05,37.3,36,29,80.6,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,17,45.5
2324,🔴 轉弱/衰退,2026/05,22.3,36,10,27.8,5/12,✗✗✗✗✗✗✔✔✗✔✔✔,3,-7.6
1504,🟡 中性,2026/05,10.6,36,20,55.6,11/12,✔✔✔✔✔✔✔✔✗✔✔✔,3,1.1
7750,— 資料不足/新上市
6789,🟡 中性,2026/05,16.1,36,20,55.6,4/12,✗✗✗✗✗✗✗✔✔✔✗✔,1,8.7
8358,🔵 多數成長,2026/05,41.4,36,27,75.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,18,14.4
6919,— 資料不足/新上市,2026/04,-70.8,4,1,25.0,1/4,✗✗✔✗,0,-48.1
1402,🟡 中性,2026/05,19.4,36,16,44.4,2/12,✗✗✗✗✗✗✗✗✗✗✔✔,2,0.2
2347,🟡 中性,2026/05,129.7,36,20,55.6,8/12,✗✗✗✗✔✔✔✔✔✔✔✔,8,9.8
3532,🔴 轉弱/衰退,2026/05,24.4,36,12,33.3,9/12,✗✗✔✔✔✔✔✔✗✔✔✔,3,-5.7
6531,🟢 全期強勢,2026/05,89.3,36,29,80.6,11/12,✔✔✗✔✔✔✔✔✔✔✔✔,9,29.9
3026,🟡 中性,2026/05,21.3,36,16,44.4,7/12,✗✗✗✔✗✔✔✔✗✔✔✔,3,1.2
5536,🔵 多數成長,2026/05,27.8,36,27,75.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,26,20.9
2633,🟢 全期強勢,2026/05,3.5,36,30,83.3,9/12,✗✔✔✗✔✔✔✗✔✔✔✔,4,9.6
8996,🔵 多數成長,2026/05,40.0,36,27,75.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,16,50.5
6442,🔵 多數成長,2026/05,116.0,36,28,77.8,9/12,✔✔✔✔✔✔✗✗✔✔✗✔,1,82.7
3260,🔵 多數成長,2026/05,210.4,36,27,75.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,14,46.8
2451,🔵 多數成長,2026/05,469.8,36,22,61.1,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,16,81.0
2610,🟢 全期強勢,2026/05,27.7,36,29,80.6,6/12,✗✗✗✗✔✗✔✗✔✔✔✔,4,11.6
6285,🟡 中性,2026/05,34.8,36,20,55.6,7/12,✗✔✗✔✔✗✗✔✗✔✔✔,3,3.6
1102,🔴 轉弱/衰退,2026/05,-1.2,36,9,25.0,1/12,✗✗✗✗✗✗✗✔✗✗✗✗,0,-6.9
1503,🔵 多數成長,2026/05,8.4,36,24,66.7,9/12,✔✗✔✗✔✔✔✔✗✔✔✔,3,7.0
2812,🟢 全期強勢,2026/05,28.3,36,32,88.9,11/12,✗✔✔✔✔✔✔✔✔✔✔✔,11,12.3
6196,🟡 中性,2026/05,64.9,36,18,50.0,6/12,✗✗✗✗✗✔✗✔✔✔✔✔,5,2.0
6805,🟢 全期強勢,2026/05,37.2,22,22,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,22,55.2
5483,🔴 轉弱/衰退,2026/05,5.7,36,13,36.1,5/12,✔✗✗✔✗✗✔✗✗✔✗✔,1,-1.9
6510,🔵 多數成長,2026/05,34.1,36,24,66.7,10/12,✔✔✔✔✔✗✗✔✔✔✔✔,5,18.7
2377,🔵 多數成長,2026/05,-23.7,36,28,77.8,7/12,✔✔✔✗✔✔✔✔✗✗✗✗,0,11.5
2474,🟡 中性,2026/05,-48.3,36,19,52.8,6/12,✔✗✔✔✔✔✗✔✗✗✗✗,0,-7.3
2049,🟡 中性,2026/05,28.2,36,17,47.2,6/12,✗✗✗✗✗✔✔✔✗✔✔✔,3,0.4
3706,🔵 多數成長,2026/05,49.3,36,28,77.8,11/12,✔✔✔✔✔✗✔✔✔✔✔✔,6,51.1
6526,🔵 多數成長,2026/05,12.9,22,17,77.3,7/12,✔✔✗✗✗✗✗✔✔✔✔✔,5,18.9
6187,🔵 多數成長,2026/05,43.8,36,27,75.0,7/12,✔✔✗✗✗✗✗✔✔✔✔✔,5,121.4
3491,🔵 多數成長,2026/05,57.2,36,24,66.7,8/12,✗✗✗✗✔✔✔✔✔✔✔✔,8,26.4
5269,🟢 全期強勢,2026/05,-19.4,36,32,88.9,10/12,✔✔✔✔✔✔✔✔✔✔✗✗,0,43.9
2353,🟢 全期強勢,2026/05,36.5,36,29,80.6,10/12,✔✗✗✔✔✔✔✔✔✔✔✔,9,10.2
